model,noise_ratio,accuracy_mean,accuracy_std,count,entropy_mean
GPT2-Large,0.0,0.893,0.31,270,5.233
GPT2-Large,0.1,0.43,0.496,270,5.691
GPT2-Large,0.2,0.244,0.431,270,5.813
GPT2-Large,0.3,0.148,0.356,182,5.75
GPT2-Large,0.4,0.089,0.285,180,5.832
GPT2-Medium,0.0,0.811,0.392,270,4.824
GPT2-Medium,0.1,0.422,0.495,270,5.18
GPT2-Medium,0.2,0.267,0.443,270,5.33
GPT2-Medium,0.3,0.165,0.372,182,5.34
GPT2-Medium,0.4,0.083,0.277,180,5.412
GPT2-Small,0.0,0.815,0.389,270,4.423
GPT2-Small,0.1,0.47,0.5,270,4.909
GPT2-Small,0.2,0.219,0.414,270,5.087
GPT2-Small,0.3,0.17,0.377,182,5.099
GPT2-Small,0.4,0.117,0.322,180,5.18
TinyLlama,0.0,0.067,0.25,450,3.834
TinyLlama,0.1,0.08,0.272,450,4.098
TinyLlama,0.2,0.071,0.257,450,4.14
TinyLlama,0.3,0.044,0.206,450,4.168
TinyLlama,0.4,0.036,0.185,450,4.112
